match_id,player_id,player_name,team_id,minutes_played,goals,assists,shots,shots_on_target,xg,key_passes,passes_attempted,passes_completed,tackles,interceptions,clearances,saves,card,touches,data_source
WC2026_M97,p_fra_01,Mike Maignan,FRA,90,0,0,0,0,0,0,96,87,0,0,0,1,,124,MODELED
WC2026_M97,p_fra_02,Jules Koundé,FRA,86,0,0,5,2,0.769,0,75,65,1,1,1,0,,83,MODELED
WC2026_M97,p_fra_03,William Saliba,FRA,90,0,0,0,0,0,0,72,64,2,0,1,0,,93,MODELED
WC2026_M97,p_fra_04,Dayot Upamecano,FRA,90,0,0,1,0,0.373,0,78,67,3,1,4,0,,91,MODELED
WC2026_M97,p_fra_05,Lucas Digne,FRA,90,0,0,1,0,0.017,0,80,74,0,2,2,0,,96,MODELED
WC2026_M97,p_fra_06,Adrien Rabiot,FRA,90,0,0,2,1,0.178,0,71,62,0,1,0,0,,87,MODELED
WC2026_M97,p_fra_07,Manu Koné,FRA,71,0,0,1,0,0.034,0,53,49,3,0,0,0,,67,MODELED
WC2026_M97,p_fra_08,Ousmane Dembélé,FRA,90,1,0,5,2,0.416,0,92,82,1,2,0,0,,116,REAL
WC2026_M97,p_fra_09,Michael Olise,FRA,90,0,0,1,0,0.025,0,91,81,2,1,2,0,,113,MODELED
WC2026_M97,p_fra_10,Désiré Doué,FRA,76,0,1,2,0,0.262,2,76,66,2,2,2,0,,99,REAL
WC2026_M97,p_fra_11,Kylian Mbappé,FRA,76,1,1,3,3,0.965,3,66,57,1,1,1,0,,77,REAL
WC2026_M97,p_fra_12,Warren Zaïre-Emery,FRA,19,0,0,0,0,0,0,15,13,3,0,1,0,,17,MODELED
WC2026_M97,p_fra_13,Bradley Barcola,FRA,14,0,0,0,0,0,0,14,13,2,1,0,0,,17,MODELED
WC2026_M97,p_fra_14,Jean-Philippe Mateta,FRA,14,0,0,0,0,0,0,14,12,0,0,1,0,,17,MODELED
WC2026_M97,p_fra_15,Malo Gusto,FRA,4,0,0,0,0,0,0,4,4,0,1,2,0,,4,MODELED
WC2026_M97,p_mar_01,Yassine Bounou,MAR,90,0,0,0,0,0,0,97,84,0,0,0,4,,109,MODELED
WC2026_M97,p_mar_02,Achraf Hakimi,MAR,90,0,0,1,0,0.031,0,85,73,2,0,4,0,,100,MODELED
WC2026_M97,p_mar_03,Noussair Mazraoui,MAR,90,0,0,0,0,0,0,94,82,3,2,0,0,,115,MODELED
WC2026_M97,p_mar_04,Issa Diop,MAR,90,0,0,0,0,0,0,77,68,0,0,4,0,Yellow,98,REAL
WC2026_M97,p_mar_05,Anass Salah-Eddine,MAR,74,0,0,0,0,0,0,58,50,0,1,0,0,,73,MODELED
WC2026_M97,p_mar_06,Neil El Aynaoui,MAR,90,0,0,0,0,0,0,83,77,0,2,2,0,,98,MODELED
WC2026_M97,p_mar_07,Ayyoub Bouaddi,MAR,62,0,0,0,0,0,0,51,43,1,2,0,0,,62,MODELED
WC2026_M97,p_mar_08,Brahim Díaz,MAR,74,0,0,0,0,0,0,77,69,1,1,0,0,,86,MODELED
WC2026_M97,p_mar_09,Azzedine Ounahi,MAR,90,0,0,0,0,0,0,76,70,3,0,1,0,,93,MODELED
WC2026_M97,p_mar_10,Chemsdine Talbi,MAR,85,0,0,0,0,0,0,77,69,1,0,2,0,,89,MODELED
WC2026_M97,p_mar_11,Bilal El Khannouss,MAR,62,0,0,0,0,0,0,66,58,2,2,1,0,,73,MODELED
WC2026_M97,p_mar_12,Sofyan Amrabat,MAR,28,0,0,3,1,0.109,0,26,23,3,2,0,0,,32,MODELED
WC2026_M97,p_mar_13,Soufiane Rahimi,MAR,28,0,0,0,0,0,0,27,24,2,2,2,0,,31,MODELED
WC2026_M97,p_mar_14,Gessime Yassine,MAR,16,0,0,0,0,0,0,15,13,2,0,1,0,,18,MODELED
WC2026_M97,p_mar_15,Zakaria El Ouahdi,MAR,16,0,0,0,0,0,0,16,14,2,0,1,0,,19,MODELED
WC2026_M97,p_mar_16,Amine Sbaï,MAR,5,0,0,0,0,0,0,5,5,3,1,0,0,,6,MODELED
