match_id,sequence_id,team_id,start_minute,end_minute,duration_seconds,end_reason,led_to_shot,resulting_shot_id,is_goal,data_source
WC2026_M97,PS001,FRA,0.0,0.33,20,Out of Play,No,,No,MODELED
WC2026_M97,PS002,MAR,0.33,0.6,16,Out of Play,No,,No,MODELED
WC2026_M97,PS003,FRA,0.6,1.12,31,Turnover,No,,No,MODELED
WC2026_M97,PS004,MAR,1.12,1.35,14,Foul Conceded,No,,No,MODELED
WC2026_M97,PS005,MAR,1.35,1.72,22,Foul Conceded,No,,No,MODELED
WC2026_M97,PS006,MAR,1.72,2.07,21,Foul Conceded,No,,No,MODELED
WC2026_M97,PS007,FRA,2.07,2.49,25,Out of Play,No,,No,MODELED
WC2026_M97,PS008,MAR,2.49,2.77,17,Turnover,No,,No,MODELED
WC2026_M97,PS009,MAR,2.77,3.05,17,Out of Play,No,,No,MODELED
WC2026_M97,PS010,FRA,3.05,3.63,35,Turnover,No,,No,MODELED
WC2026_M97,PS011,FRA,3.63,4.2,34,Shot,Yes,SH01,No,REAL
WC2026_M97,PS012,FRA,4.2,4.83,38,Shot,Yes,SH02,No,REAL
WC2026_M97,PS013,FRA,4.83,5.26,26,Offside,No,,No,MODELED
WC2026_M97,PS014,MAR,5.26,5.79,32,Turnover,No,,No,MODELED
WC2026_M97,PS015,MAR,5.79,6.26,28,Turnover,No,,No,MODELED
WC2026_M97,PS016,FRA,6.26,6.68,25,Turnover,No,,No,MODELED
WC2026_M97,PS017,MAR,6.68,7.28,36,Offside,No,,No,MODELED
WC2026_M97,PS018,MAR,7.28,7.68,24,Turnover,No,,No,MODELED
WC2026_M97,PS019,FRA,7.68,8.08,24,Out of Play,No,,No,MODELED
WC2026_M97,PS020,MAR,8.08,8.4,19,Turnover,No,,No,MODELED
WC2026_M97,PS021,MAR,8.4,8.72,19,Offside,No,,No,MODELED
WC2026_M97,PS022,MAR,8.72,9.04,19,Foul Conceded,No,,No,MODELED
WC2026_M97,PS023,FRA,9.04,9.66,37,Offside,No,,No,MODELED
WC2026_M97,PS024,FRA,9.66,9.98,19,Offside,No,,No,MODELED
WC2026_M97,PS025,FRA,9.98,10.26,17,Shot,Yes,SH03,No,REAL
WC2026_M97,PS026,MAR,10.26,10.78,31,Out of Play,No,,No,MODELED
WC2026_M97,PS027,MAR,10.78,11.38,36,Out of Play,No,,No,MODELED
