match_id,window_start,window_end,home_team_id,home_momentum_score,away_team_id,away_momentum_score,data_source
WC2026_M97,0,5,FRA,65.7,MAR,34.3,MODELED
WC2026_M97,5,10,FRA,55.0,MAR,45.0,MODELED
WC2026_M97,10,15,FRA,53.5,MAR,46.5,MODELED
WC2026_M97,15,20,FRA,53.3,MAR,46.7,MODELED
WC2026_M97,20,25,FRA,65.3,MAR,34.7,MODELED
WC2026_M97,25,30,FRA,45.8,MAR,54.2,MODELED
WC2026_M97,30,35,FRA,56.6,MAR,43.4,MODELED
WC2026_M97,35,40,FRA,53.3,MAR,46.7,MODELED
WC2026_M97,40,45,FRA,54.5,MAR,45.5,MODELED
WC2026_M97,45,50,FRA,51.0,MAR,49.0,MODELED
WC2026_M97,50,55,FRA,53.3,MAR,46.7,MODELED
WC2026_M97,55,60,FRA,64.5,MAR,35.5,MODELED
WC2026_M97,60,65,FRA,70.4,MAR,29.6,MODELED
WC2026_M97,65,70,FRA,72.9,MAR,27.1,MODELED
WC2026_M97,70,75,FRA,52.3,MAR,47.7,MODELED
WC2026_M97,75,80,FRA,53.9,MAR,46.1,MODELED
WC2026_M97,80,85,FRA,56.2,MAR,43.8,MODELED
WC2026_M97,85,90,FRA,53.1,MAR,46.9,MODELED
