match_id,minute,home_team_id,home_cum_xg,away_team_id,away_cum_xg,data_source
WC2026_M97,0,FRA,0.0,MAR,0.0,MODELED
WC2026_M97,1,FRA,0.0,MAR,0.0,MODELED
WC2026_M97,2,FRA,0.0,MAR,0.0,MODELED
WC2026_M97,3,FRA,0.0,MAR,0.0,MODELED
WC2026_M97,4,FRA,0.415,MAR,0.0,MODELED
WC2026_M97,5,FRA,0.415,MAR,0.0,MODELED
WC2026_M97,6,FRA,0.415,MAR,0.0,MODELED
WC2026_M97,7,FRA,0.415,MAR,0.0,MODELED
WC2026_M97,8,FRA,0.415,MAR,0.0,MODELED
WC2026_M97,9,FRA,0.415,MAR,0.0,MODELED
WC2026_M97,10,FRA,0.44,MAR,0.0,MODELED
WC2026_M97,11,FRA,0.44,MAR,0.0,MODELED
WC2026_M97,12,FRA,0.44,MAR,0.0,MODELED
WC2026_M97,13,FRA,0.44,MAR,0.0,MODELED
WC2026_M97,14,FRA,0.44,MAR,0.0,MODELED
WC2026_M97,15,FRA,0.44,MAR,0.0,MODELED
WC2026_M97,16,FRA,0.44,MAR,0.0,MODELED
WC2026_M97,17,FRA,0.44,MAR,0.0,MODELED
WC2026_M97,18,FRA,0.491,MAR,0.0,MODELED
WC2026_M97,19,FRA,0.491,MAR,0.0,MODELED
WC2026_M97,20,FRA,0.508,MAR,0.0,MODELED
WC2026_M97,21,FRA,0.55,MAR,0.0,MODELED
WC2026_M97,22,FRA,0.55,MAR,0.0,MODELED
WC2026_M97,23,FRA,0.55,MAR,0.0,MODELED
WC2026_M97,24,FRA,0.55,MAR,0.0,MODELED
WC2026_M97,25,FRA,0.55,MAR,0.0,MODELED
WC2026_M97,26,FRA,0.55,MAR,0.0,MODELED
WC2026_M97,27,FRA,0.55,MAR,0.0,MODELED
WC2026_M97,28,FRA,1.219,MAR,0.0,MODELED
WC2026_M97,29,FRA,1.219,MAR,0.0,MODELED
WC2026_M97,30,FRA,1.219,MAR,0.0,MODELED
WC2026_M97,31,FRA,1.219,MAR,0.0,MODELED
WC2026_M97,32,FRA,1.219,MAR,0.0,MODELED
WC2026_M97,33,FRA,1.253,MAR,0.0,MODELED
WC2026_M97,34,FRA,1.253,MAR,0.0,MODELED
WC2026_M97,35,FRA,1.49,MAR,0.0,MODELED
WC2026_M97,36,FRA,1.507,MAR,0.0,MODELED
WC2026_M97,37,FRA,1.507,MAR,0.0,MODELED
WC2026_M97,38,FRA,1.507,MAR,0.0,MODELED
WC2026_M97,39,FRA,1.507,MAR,0.0,MODELED
WC2026_M97,40,FRA,1.507,MAR,0.0,MODELED
WC2026_M97,41,FRA,1.507,MAR,0.0,MODELED
WC2026_M97,42,FRA,1.507,MAR,0.0,MODELED
WC2026_M97,43,FRA,1.507,MAR,0.0,MODELED
WC2026_M97,44,FRA,1.507,MAR,0.0,MODELED
WC2026_M97,45,FRA,1.507,MAR,0.0,MODELED
WC2026_M97,46,FRA,1.541,MAR,0.0,MODELED
WC2026_M97,47,FRA,1.583,MAR,0.0,MODELED
WC2026_M97,48,FRA,1.583,MAR,0.0,MODELED
WC2026_M97,49,FRA,1.583,MAR,0.0,MODELED
WC2026_M97,50,FRA,1.583,MAR,0.0,MODELED
WC2026_M97,51,FRA,1.583,MAR,0.0,MODELED
WC2026_M97,52,FRA,1.583,MAR,0.0,MODELED
