match_id,sequence_id,team_id,start_minute,end_minute,duration_seconds,end_reason,led_to_shot,resulting_shot_id,is_goal,data_source
WC2026_M99,PS001,NOR,0.0,0.42,25,Offside,No,,No,MODELED
WC2026_M99,PS002,NOR,0.42,0.82,24,Offside,No,,No,MODELED
WC2026_M99,PS003,NOR,0.82,1.22,24,Foul Conceded,No,,No,MODELED
WC2026_M99,PS004,ENG,1.22,1.82,36,Out of Play,No,,No,MODELED
WC2026_M99,PS005,NOR,1.82,2.27,27,Offside,No,,No,MODELED
WC2026_M99,PS006,NOR,2.27,2.59,19,Foul Conceded,No,,No,MODELED
WC2026_M99,PS007,NOR,2.59,2.87,17,Foul Conceded,No,,No,MODELED
WC2026_M99,PS008,NOR,2.87,3.27,24,Offside,No,,No,MODELED
WC2026_M99,PS009,ENG,3.27,3.69,25,Foul Conceded,No,,No,MODELED
WC2026_M99,PS010,NOR,3.69,4.04,21,Turnover,No,,No,MODELED
WC2026_M99,PS011,NOR,4.04,4.41,22,Out of Play,No,,No,MODELED
WC2026_M99,PS012,NOR,4.41,4.81,24,Turnover,No,,No,MODELED
WC2026_M99,PS013,ENG,4.81,5.38,34,Turnover,No,,No,MODELED
WC2026_M99,PS014,ENG,5.38,5.95,34,Out of Play,No,,No,MODELED
WC2026_M99,PS015,ENG,5.95,6.25,18,Offside,No,,No,MODELED
WC2026_M99,PS016,NOR,6.25,6.63,23,Foul Conceded,No,,No,MODELED
WC2026_M99,PS017,NOR,6.63,7.03,24,Turnover,No,,No,MODELED
WC2026_M99,PS018,ENG,7.03,7.4,22,Foul Conceded,No,,No,MODELED
WC2026_M99,PS019,NOR,7.4,7.98,35,Turnover,No,,No,MODELED
WC2026_M99,PS020,ENG,7.98,8.3,19,Turnover,No,,No,MODELED
WC2026_M99,PS021,ENG,8.3,8.82,31,Turnover,No,,No,MODELED
WC2026_M99,PS022,NOR,8.82,9.1,17,Out of Play,No,,No,MODELED
WC2026_M99,PS023,ENG,9.1,9.63,32,Foul Conceded,No,,No,MODELED
WC2026_M99,PS024,NOR,9.63,10.21,35,Turnover,No,,No,MODELED
WC2026_M99,PS025,ENG,10.21,10.81,36,Out of Play,No,,No,MODELED
WC2026_M99,PS026,ENG,10.81,11.29,29,Offside,No,,No,MODELED
WC2026_M99,PS027,NOR,11.29,11.74,27,Turnover,No,,No,MODELED
WC2026_M99,PS028,NOR,11.74,12.22,29,Turnover,No,,No,MODELED
WC2026_M99,PS029,ENG,12.22,12.7,29,Turnover,No,,No,MODELED
WC2026_M99,PS030,NOR,12.7,13.18,29,Out of Play,No,,No,MODELED
WC2026_M99,PS031,NOR,13.18,13.66,29,Turnover,No,,No,MODELED
WC2026_M99,PS032,ENG,13.66,14.19,32,Offside,No,,No,MODELED
WC2026_M99,PS033,NOR,14.19,14.64,27,Foul Conceded,No,,No,MODELED
WC2026_M99,PS034,ENG,14.64,14.96,19,Offside,No,,No,MODELED
WC2026_M99,PS035,ENG,14.96,15.56,36,Turnover,No,,No,MODELED
WC2026_M99,PS036,NOR,15.56,15.86,18,Turnover,No,,No,MODELED
WC2026_M99,PS037,NOR,15.86,16.18,19,Turnover,No,,No,MODELED
WC2026_M99,PS038,ENG,16.18,16.71,32,Offside,No,,No,MODELED
WC2026_M99,PS039,NOR,16.71,17.01,18,Turnover,No,,No,MODELED
WC2026_M99,PS040,NOR,17.01,17.31,18,Offside,No,,No,MODELED
WC2026_M99,PS041,ENG,17.31,17.83,31,Out of Play,No,,No,MODELED
WC2026_M99,PS042,ENG,17.83,18.16,20,Out of Play,No,,No,MODELED
WC2026_M99,PS043,ENG,18.16,18.69,32,Offside,No,,No,MODELED
WC2026_M99,PS044,ENG,18.69,19.29,36,Turnover,No,,No,MODELED
WC2026_M99,PS045,ENG,19.29,19.87,35,Offside,No,,No,MODELED
WC2026_M99,PS046,NOR,19.87,20.15,17,Offside,No,,No,MODELED
WC2026_M99,PS047,ENG,20.15,20.77,37,Offside,No,,No,MODELED
WC2026_M99,PS048,NOR,20.77,21.17,24,Foul Conceded,No,,No,MODELED
