match_id,window_start,window_end,team_id,attack_pct,defense_pct,transition_off_def_pct,transition_def_off_pct,data_source
WC2026_M97,0,5,FRA,38.7,23.8,20.7,16.8,MODELED
WC2026_M97,0,5,MAR,26.5,33.5,18.3,21.7,MODELED
WC2026_M97,5,10,FRA,49.4,29.4,9.5,11.7,MODELED
WC2026_M97,5,10,MAR,26.6,31.7,18.4,23.2,MODELED
WC2026_M97,10,15,FRA,50.7,30.0,9.0,10.3,MODELED
WC2026_M97,10,15,MAR,32.1,26.6,18.2,23.0,MODELED
WC2026_M97,15,20,FRA,50.9,27.2,8.9,13.1,MODELED
WC2026_M97,15,20,MAR,28.1,27.2,21.2,23.6,MODELED
WC2026_M97,20,25,FRA,46.4,33.5,8.7,11.4,MODELED
WC2026_M97,20,25,MAR,26.3,21.3,21.5,31.0,MODELED
WC2026_M97,25,30,FRA,38.1,34.7,16.1,11.0,MODELED
WC2026_M97,25,30,MAR,22.5,30.8,25.7,20.9,MODELED
WC2026_M97,30,35,FRA,42.2,30.2,14.6,12.9,MODELED
WC2026_M97,30,35,MAR,32.0,25.0,24.2,18.8,MODELED
WC2026_M97,35,40,FRA,50.6,28.2,12.0,9.2,MODELED
WC2026_M97,35,40,MAR,33.4,26.7,21.4,18.5,MODELED
WC2026_M97,40,45,FRA,49.5,28.4,13.2,8.9,MODELED
WC2026_M97,40,45,MAR,27.4,20.8,27.9,23.9,MODELED
WC2026_M97,45,50,FRA,46.5,27.3,15.7,10.6,MODELED
WC2026_M97,45,50,MAR,28.9,34.4,14.8,21.9,MODELED
WC2026_M97,50,55,FRA,44.9,21.9,17.7,15.5,MODELED
WC2026_M97,50,55,MAR,30.3,24.3,22.6,22.9,MODELED
WC2026_M97,55,60,FRA,42.3,34.3,10.8,12.7,MODELED
WC2026_M97,55,60,MAR,29.8,26.4,24.6,19.2,MODELED
WC2026_M97,60,65,FRA,49.7,24.1,14.0,12.2,MODELED
WC2026_M97,60,65,MAR,23.4,33.9,24.1,18.5,MODELED
WC2026_M97,65,70,FRA,50.5,34.4,8.6,6.5,MODELED
WC2026_M97,65,70,MAR,24.2,26.1,21.2,28.4,MODELED
WC2026_M97,70,75,FRA,51.1,21.1,11.9,15.9,MODELED
WC2026_M97,70,75,MAR,31.7,32.8,19.6,15.9,MODELED
WC2026_M97,75,80,FRA,40.9,22.4,18.1,18.6,MODELED
WC2026_M97,75,80,MAR,31.4,29.1,17.1,22.4,MODELED
WC2026_M97,80,85,FRA,38.2,20.1,19.3,22.4,MODELED
WC2026_M97,80,85,MAR,31.0,23.0,21.2,24.8,MODELED
WC2026_M97,85,90,FRA,43.9,23.5,17.8,14.9,MODELED
WC2026_M97,85,90,MAR,28.5,34.1,16.6,20.8,MODELED
