match_id,shot_id,minute,team_id,player_id,x_norm,y_norm,distance_m,body_part,situation,outcome,xg_raw_model_input,xg,assist_player_id,data_source
WC2026_M100,SH06,2,ARG,p_arg_02,86.5,30.8,18.8,Head,Regular Play,Blocked,0.011,0.011,,REAL_EVENT_MODELED_XG
WC2026_M100,SH07,5,ARG,p_arg_08,80.2,49.9,29.5,Right Foot,Cross,Off Target,0.025,0.025,,REAL_EVENT_MODELED_XG
WC2026_M100,SH08,8,ARG,p_arg_02,95.3,2.0,33.4,Right Foot,Set Piece,Off Target,0.007,0.007,,REAL_EVENT_MODELED_XG
WC2026_M100,SH01,10,ARG,p_arg_09,101.5,32.5,4.2,Header,From Corner,Goal,0.507,0.507,p_arg_10,REAL_EVENT_MODELED_XG
WC2026_M100,SH17,14,SUI,p_sui_07,92.8,34.5,12.2,Head,Regular Play,Saved,0.06,0.06,,REAL_EVENT_MODELED_XG
WC2026_M100,SH09,15,ARG,p_arg_07,90.8,48.2,20.1,Head,Regular Play,Off Target,0.006,0.006,,REAL_EVENT_MODELED_XG
WC2026_M100,SH10,19,ARG,p_arg_11,95.1,15.8,20.7,Left Foot,Regular Play,Off Target,0.039,0.039,,REAL_EVENT_MODELED_XG
WC2026_M100,SH18,23,SUI,p_sui_06,89.1,2.2,35.6,Left Foot,Regular Play,Off Target,0.007,0.007,,REAL_EVENT_MODELED_XG
WC2026_M100,SH19,26,SUI,p_sui_09,83.3,19.4,26.2,Right Foot,Set Piece,Off Target,0.036,0.036,,REAL_EVENT_MODELED_XG
WC2026_M100,SH20,29,SUI,p_sui_07,85.3,23.2,22.5,Head,Regular Play,Blocked,0.004,0.004,,REAL_EVENT_MODELED_XG
WC2026_M100,SH21,33,SUI,p_sui_06,92.3,55.5,25.0,Left Foot,Counter Attack,Off Target,0.025,0.025,,REAL_EVENT_MODELED_XG
WC2026_M100,SH22,34,SUI,p_sui_09,84.9,2.9,37.0,Head,Regular Play,Off Target,0.0,0.0,,REAL_EVENT_MODELED_XG
WC2026_M100,SH23,58,SUI,p_sui_10,95.9,21.3,15.6,Left Foot,Counter Attack,Blocked,0.087,0.087,,REAL_EVENT_MODELED_XG
WC2026_M100,SH11,59,ARG,p_arg_07,83.3,14.3,29.3,Right Foot,Regular Play,Off Target,0.022,0.022,,REAL_EVENT_MODELED_XG
WC2026_M100,SH02,67,SUI,p_sui_09,96.0,22.0,15.8,Left Foot,Regular Play,Goal,0.097,0.097,,REAL_EVENT_MODELED_XG
WC2026_M100,SH24,74,SUI,p_sui_07,84.9,14.0,28.4,Head,Counter Attack,Off Target,0.001,0.001,,REAL_EVENT_MODELED_XG
WC2026_M100,SH12,75,ARG,p_arg_09,85.2,21.1,23.6,Head,Cross,Blocked,0.003,0.003,,REAL_EVENT_MODELED_XG
WC2026_M100,SH25,84,SUI,p_sui_06,95.9,25.3,12.6,Head,Regular Play,Saved,0.04,0.04,,REAL_EVENT_MODELED_XG
WC2026_M100,SH13,98,ARG,p_arg_08,88.3,54.5,26.4,Head,Regular Play,Off Target,0.001,0.001,,REAL_EVENT_MODELED_XG
WC2026_M100,SH14,99,ARG,p_arg_10,83.4,27.2,22.6,Left Foot,Set Piece,Blocked,0.065,0.065,,REAL_EVENT_MODELED_XG
WC2026_M100,SH15,110,ARG,p_arg_13,88.3,29.8,17.2,Right Foot,Set Piece,Blocked,0.128,0.128,,REAL_EVENT_MODELED_XG
WC2026_M100,SH16,111,ARG,p_arg_13,89.9,35.4,15.2,Head,Counter Attack,Saved,0.028,0.028,,REAL_EVENT_MODELED_XG
WC2026_M100,SH03,112,ARG,p_arg_11,87.0,30.0,18.9,Right Foot,Regular Play,Goal,0.112,0.112,,REAL_EVENT_MODELED_XG
WC2026_M100,SH26,119,SUI,p_sui_07,95.2,38.6,10.8,Right Foot,Set Piece,Blocked,0.264,0.264,,REAL_EVENT_MODELED_XG
WC2026_M100,SH04,120,ARG,p_arg_15,96.5,38.0,10.1,Right Foot,Regular Play,Saved,0.32,0.32,,REAL_EVENT_MODELED_XG
WC2026_M100,SH05,121,ARG,p_arg_13,103.0,33.0,2.5,Right Foot,Rebound,Goal,0.832,0.832,p_arg_15,REAL_EVENT_MODELED_XG
