match_id,window_start,window_end,team_id,attack_pct,defense_pct,transition_off_def_pct,transition_def_off_pct,data_source
WC2026_M99,0,5,NOR,38.8,34.2,11.5,15.5,MODELED
WC2026_M99,0,5,ENG,39.4,24.1,15.7,20.8,MODELED
WC2026_M99,5,10,NOR,32.3,24.8,21.1,21.8,MODELED
WC2026_M99,5,10,ENG,40.2,26.6,17.4,15.8,MODELED
WC2026_M99,10,15,NOR,30.2,30.4,18.1,21.3,MODELED
WC2026_M99,10,15,ENG,39.2,34.0,15.2,11.5,MODELED
WC2026_M99,15,20,NOR,35.6,29.3,17.5,17.6,MODELED
WC2026_M99,15,20,ENG,44.4,24.0,15.8,15.8,MODELED
WC2026_M99,20,25,NOR,31.5,23.2,24.0,21.3,MODELED
WC2026_M99,20,25,ENG,35.5,24.2,20.2,20.1,MODELED
WC2026_M99,25,30,NOR,33.0,30.9,19.2,16.8,MODELED
WC2026_M99,25,30,ENG,36.5,34.9,12.6,16.0,MODELED
WC2026_M99,30,35,NOR,36.9,31.7,17.1,14.2,MODELED
WC2026_M99,30,35,ENG,49.2,30.7,9.4,10.6,MODELED
WC2026_M99,35,40,NOR,40.1,31.4,14.7,13.8,MODELED
WC2026_M99,35,40,ENG,38.4,24.0,22.2,15.3,MODELED
WC2026_M99,40,45,NOR,41.0,25.8,18.9,14.3,MODELED
WC2026_M99,40,45,ENG,36.0,33.0,15.2,15.9,MODELED
WC2026_M99,45,50,NOR,35.6,24.9,22.2,17.2,MODELED
WC2026_M99,45,50,ENG,35.0,28.9,16.1,20.0,MODELED
WC2026_M99,50,55,NOR,30.3,27.1,18.3,24.4,MODELED
WC2026_M99,50,55,ENG,40.3,29.2,14.1,16.4,MODELED
WC2026_M99,55,60,NOR,34.7,32.1,18.8,14.3,MODELED
WC2026_M99,55,60,ENG,38.0,25.6,21.3,15.1,MODELED
WC2026_M99,60,65,NOR,43.2,32.4,11.9,12.5,MODELED
WC2026_M99,60,65,ENG,49.8,23.6,13.9,12.6,MODELED
WC2026_M99,65,70,NOR,32.5,30.8,18.0,18.7,MODELED
WC2026_M99,65,70,ENG,36.7,23.3,20.8,19.2,MODELED
WC2026_M99,70,75,NOR,39.3,26.9,16.4,17.4,MODELED
WC2026_M99,70,75,ENG,36.2,29.0,14.3,20.5,MODELED
WC2026_M99,75,80,NOR,41.1,31.6,12.2,15.2,MODELED
WC2026_M99,75,80,ENG,38.1,30.4,14.0,17.6,MODELED
WC2026_M99,80,85,NOR,33.9,30.0,21.2,14.8,MODELED
WC2026_M99,80,85,ENG,49.4,27.1,10.4,13.0,MODELED
WC2026_M99,85,90,NOR,39.8,33.2,14.5,12.5,MODELED
WC2026_M99,85,90,ENG,41.5,30.9,16.6,11.1,MODELED
WC2026_M99,90,95,NOR,43.7,33.5,9.7,13.1,MODELED
WC2026_M99,90,95,ENG,47.5,30.1,12.3,10.2,MODELED
WC2026_M99,95,100,NOR,35.9,23.8,17.5,22.7,MODELED
WC2026_M99,95,100,ENG,43.8,29.2,12.4,14.6,MODELED
WC2026_M99,100,105,NOR,38.5,34.2,15.0,12.4,MODELED
WC2026_M99,100,105,ENG,48.5,31.4,10.6,9.5,MODELED
WC2026_M99,105,110,NOR,37.1,22.3,24.1,16.5,MODELED
WC2026_M99,105,110,ENG,38.6,22.6,16.9,21.9,MODELED
WC2026_M99,110,115,NOR,36.2,29.3,15.9,18.6,MODELED
WC2026_M99,110,115,ENG,42.9,28.0,15.6,13.4,MODELED
WC2026_M99,115,120,NOR,32.4,24.8,20.1,22.7,MODELED
WC2026_M99,115,120,ENG,36.4,29.9,16.2,17.6,MODELED
