match_id,team_id,date,opponent,competition_stage,result,score,venue_type,data_source
WC2026_M97,FRA,2026-07-04,Paraguay,Round of 16,W,1-0,Away,REAL
WC2026_M97,FRA,2026-06-30,Sweden,Round of 32,W,3-0,Home,REAL
WC2026_M97,FRA,2026-06-26,Norway,Group Stage,W,4-1,Away,REAL
WC2026_M97,FRA,2026-06-22,Iraq,Group Stage,W,3-0,Home,REAL
WC2026_M97,FRA,2026-06-16,Senegal,Group Stage,W,3-1,Home,REAL
WC2026_M97,MAR,2026-07-04,Canada,Round of 16,W,3-0,Away,REAL
WC2026_M97,MAR,2026-06-29,Netherlands,Round of 32,D (Pens 3-2),1-1,Away,REAL
WC2026_M97,MAR,2026-06-24,Haiti,Group Stage,W,4-2,Home,REAL
WC2026_M97,MAR,2026-06-19,Scotland,Group Stage,W,1-0,Away,REAL
WC2026_M97,MAR,2026-06-13,Brazil,Group Stage,D,1-1,Away,REAL
