match_id,minute,home_team_id,home_cum_xg,away_team_id,away_cum_xg,data_source
WC2026_M100,0,ARG,0.0,SUI,0.0,MODELED
WC2026_M100,1,ARG,0.0,SUI,0.0,MODELED
WC2026_M100,2,ARG,0.046,SUI,0.0,MODELED
WC2026_M100,3,ARG,0.046,SUI,0.0,MODELED
WC2026_M100,4,ARG,0.046,SUI,0.0,MODELED
WC2026_M100,5,ARG,0.081,SUI,0.0,MODELED
WC2026_M100,6,ARG,0.081,SUI,0.0,MODELED
WC2026_M100,7,ARG,0.081,SUI,0.0,MODELED
WC2026_M100,8,ARG,0.173,SUI,0.0,MODELED
WC2026_M100,9,ARG,0.173,SUI,0.0,MODELED
WC2026_M100,10,ARG,0.578,SUI,0.0,MODELED
WC2026_M100,11,ARG,0.578,SUI,0.0,MODELED
WC2026_M100,12,ARG,0.578,SUI,0.0,MODELED
WC2026_M100,13,ARG,0.578,SUI,0.0,MODELED
WC2026_M100,14,ARG,0.578,SUI,0.06,MODELED
WC2026_M100,15,ARG,0.636,SUI,0.06,MODELED
WC2026_M100,16,ARG,0.636,SUI,0.06,MODELED
WC2026_M100,17,ARG,0.636,SUI,0.06,MODELED
WC2026_M100,18,ARG,0.636,SUI,0.06,MODELED
WC2026_M100,19,ARG,0.694,SUI,0.06,MODELED
WC2026_M100,20,ARG,0.694,SUI,0.06,MODELED
WC2026_M100,21,ARG,0.694,SUI,0.06,MODELED
WC2026_M100,22,ARG,0.694,SUI,0.06,MODELED
WC2026_M100,23,ARG,0.694,SUI,0.1,MODELED
WC2026_M100,24,ARG,0.694,SUI,0.1,MODELED
WC2026_M100,25,ARG,0.694,SUI,0.1,MODELED
WC2026_M100,26,ARG,0.694,SUI,0.134,MODELED
WC2026_M100,27,ARG,0.694,SUI,0.134,MODELED
WC2026_M100,28,ARG,0.694,SUI,0.134,MODELED
WC2026_M100,29,ARG,0.694,SUI,0.161,MODELED
WC2026_M100,30,ARG,0.694,SUI,0.161,MODELED
WC2026_M100,31,ARG,0.694,SUI,0.161,MODELED
WC2026_M100,32,ARG,0.694,SUI,0.161,MODELED
WC2026_M100,33,ARG,0.694,SUI,0.215,MODELED
WC2026_M100,34,ARG,0.694,SUI,0.235,MODELED
WC2026_M100,35,ARG,0.694,SUI,0.235,MODELED
WC2026_M100,36,ARG,0.694,SUI,0.235,MODELED
WC2026_M100,37,ARG,0.694,SUI,0.235,MODELED
WC2026_M100,38,ARG,0.694,SUI,0.235,MODELED
