match_id,pass_id,minute,team_id,passer_player_id,intended_receiver_player_id,origin_x,origin_y,destination_x,destination_y,outcome,led_to_shot_within_10s,resulting_shot_id,data_source
WC2026_M100,PB01,9,ARG,p_arg_02,p_arg_13,74.3,58.2,103.2,20.1,Successful,No,,MODELED
WC2026_M100,PB02,12,ARG,p_arg_02,p_arg_11,66.5,50.5,102.6,24.8,Successful,No,,MODELED
WC2026_M100,PB03,21,ARG,p_arg_02,p_arg_09,87.4,54.9,104.8,35.8,Successful,No,,MODELED
WC2026_M100,PB27,22,SUI,p_sui_09,p_sui_11,73.3,8.1,99.8,38.4,Successful,No,,MODELED
WC2026_M100,PB28,24,SUI,p_sui_10,p_sui_09,75.1,19.0,98.3,20.8,Unsuccessful,No,,MODELED
WC2026_M100,PB04,25,ARG,p_arg_09,p_arg_13,65.8,12.7,98.6,53.9,Unsuccessful,No,,MODELED
WC2026_M100,PB05,26,ARG,p_arg_09,p_arg_10,85.3,16.0,90.4,19.7,Successful,No,,MODELED
WC2026_M100,PB06,27,ARG,p_arg_11,p_arg_15,60.6,51.2,93.0,32.1,Successful,Yes,SH11,MODELED
WC2026_M100,PB07,32,ARG,p_arg_10,p_arg_15,71.2,56.6,94.3,31.6,Successful,No,,MODELED
WC2026_M100,PB29,32,SUI,p_sui_11,p_sui_12,81.6,43.7,90.4,24.6,Unsuccessful,No,,MODELED
WC2026_M100,PB30,34,SUI,p_sui_06,p_sui_09,80.1,62.2,99.0,30.6,Successful,No,,MODELED
WC2026_M100,PB31,35,SUI,p_sui_07,p_sui_10,86.1,4.5,104.0,14.9,Unsuccessful,No,,MODELED
WC2026_M100,PB32,37,SUI,p_sui_07,p_sui_10,78.5,38.7,88.3,51.0,Successful,Yes,SH23,MODELED
WC2026_M100,PB08,41,ARG,p_arg_07,p_arg_15,79.7,18.8,102.2,32.5,Successful,No,,MODELED
WC2026_M100,PB09,42,ARG,p_arg_10,p_arg_09,68.4,27.8,99.4,49.2,Successful,Yes,SH11,MODELED
WC2026_M100,PB10,43,ARG,p_arg_08,p_arg_13,74.9,4.0,102.3,16.4,Unsuccessful,No,,MODELED
WC2026_M100,PB33,48,SUI,p_sui_11,p_sui_12,62.6,67.7,104.1,30.8,Unsuccessful,No,,MODELED
WC2026_M100,PB11,56,ARG,p_arg_09,p_arg_13,77.3,21.3,90.3,21.0,Unsuccessful,No,,MODELED
WC2026_M100,PB34,56,SUI,p_sui_06,p_sui_10,76.0,8.0,99.9,31.9,Successful,No,,MODELED
WC2026_M100,PB12,57,ARG,p_arg_09,p_arg_12,62.2,46.0,102.9,45.1,Unsuccessful,No,,MODELED
WC2026_M100,PB13,58,ARG,p_arg_07,p_arg_09,70.7,47.2,91.3,34.3,Unsuccessful,No,,MODELED
WC2026_M100,PB35,61,SUI,p_sui_09,p_sui_09,61.5,23.9,95.2,45.0,Unsuccessful,No,,MODELED
WC2026_M100,PB14,63,ARG,p_arg_09,p_arg_10,80.6,11.1,96.3,44.4,Successful,No,,MODELED
WC2026_M100,PB15,78,ARG,p_arg_11,p_arg_10,65.9,43.2,100.1,32.3,Successful,No,,MODELED
WC2026_M100,PB16,79,ARG,p_arg_07,p_arg_09,79.4,25.5,103.9,24.0,Unsuccessful,No,,MODELED
WC2026_M100,PB36,80,SUI,p_sui_07,p_sui_11,72.8,37.8,98.3,36.6,Successful,No,,MODELED
WC2026_M100,PB17,85,ARG,p_arg_13,p_arg_12,78.8,19.8,104.9,32.4,Successful,No,,MODELED
WC2026_M100,PB18,86,ARG,p_arg_10,p_arg_09,65.1,40.9,95.1,23.3,Unsuccessful,No,,MODELED
WC2026_M100,PB37,86,SUI,p_sui_07,p_sui_09,69.6,12.6,91.7,35.9,Successful,No,,MODELED
WC2026_M100,PB19,90,ARG,p_arg_10,p_arg_09,75.3,58.0,98.3,14.7,Successful,No,,MODELED
WC2026_M100,PB38,91,SUI,p_sui_09,p_sui_10,79.7,3.0,91.6,17.1,Unsuccessful,No,,MODELED
WC2026_M100,PB39,96,SUI,p_sui_06,p_sui_09,80.6,62.8,93.2,45.7,Successful,No,,MODELED
WC2026_M100,PB20,104,ARG,p_arg_08,p_arg_09,72.6,7.1,102.2,19.6,Unsuccessful,No,,MODELED
WC2026_M100,PB40,104,SUI,p_sui_11,p_sui_11,67.8,17.0,102.5,23.6,Successful,No,,MODELED
WC2026_M100,PB21,106,ARG,p_arg_08,p_arg_09,69.8,6.8,93.0,21.4,Successful,Yes,SH15,MODELED
WC2026_M100,PB22,107,ARG,p_arg_10,p_arg_12,74.1,55.1,98.6,28.7,Successful,No,,MODELED
WC2026_M100,PB23,110,ARG,p_arg_13,p_arg_13,66.0,35.3,97.0,34.9,Unsuccessful,No,,MODELED
WC2026_M100,PB24,111,ARG,p_arg_08,p_arg_13,65.6,43.6,95.1,28.6,Successful,Yes,SH16,MODELED
WC2026_M100,PB25,114,ARG,p_arg_08,p_arg_13,66.2,51.3,98.8,32.2,Successful,No,,MODELED
WC2026_M100,PB26,117,ARG,p_arg_13,p_arg_15,60.3,25.0,92.9,53.5,Successful,No,,MODELED
