match_id,window_start,window_end,home_team_id,home_momentum_score,away_team_id,away_momentum_score,data_source
WC2026_M99,0,5,NOR,53.1,ENG,46.9,MODELED
WC2026_M99,5,10,NOR,44.7,ENG,55.3,MODELED
WC2026_M99,10,15,NOR,45.3,ENG,54.7,MODELED
WC2026_M99,15,20,NOR,49.4,ENG,50.6,MODELED
WC2026_M99,20,25,NOR,53.5,ENG,46.5,MODELED
WC2026_M99,25,30,NOR,49.9,ENG,50.1,MODELED
WC2026_M99,30,35,NOR,46.8,ENG,53.2,MODELED
WC2026_M99,35,40,NOR,59.6,ENG,40.4,MODELED
WC2026_M99,40,45,NOR,43.0,ENG,57.0,MODELED
WC2026_M99,45,50,NOR,28.6,ENG,71.4,MODELED
WC2026_M99,50,55,NOR,48.1,ENG,51.9,MODELED
WC2026_M99,55,60,NOR,53.9,ENG,46.1,MODELED
WC2026_M99,60,65,NOR,48.7,ENG,51.3,MODELED
WC2026_M99,65,70,NOR,49.4,ENG,50.6,MODELED
WC2026_M99,70,75,NOR,44.6,ENG,55.4,MODELED
WC2026_M99,75,80,NOR,49.9,ENG,50.1,MODELED
WC2026_M99,80,85,NOR,51.0,ENG,49.0,MODELED
WC2026_M99,85,90,NOR,46.0,ENG,54.0,MODELED
WC2026_M99,90,95,NOR,20.1,ENG,79.9,MODELED
WC2026_M99,95,100,NOR,50.4,ENG,49.6,MODELED
WC2026_M99,100,105,NOR,42.7,ENG,57.3,MODELED
WC2026_M99,105,110,NOR,49.8,ENG,50.2,MODELED
WC2026_M99,110,115,NOR,43.0,ENG,57.0,MODELED
WC2026_M99,115,120,NOR,48.0,ENG,52.0,MODELED
