match_id,window_start,window_end,home_team_id,home_momentum_score,away_team_id,away_momentum_score,data_source
WC2026_M100,0,5,ARG,52.1,SUI,47.9,MODELED
WC2026_M100,5,10,ARG,63.4,SUI,36.6,MODELED
WC2026_M100,10,15,ARG,68.9,SUI,31.1,MODELED
WC2026_M100,15,20,ARG,51.7,SUI,48.3,MODELED
WC2026_M100,20,25,ARG,59.3,SUI,40.7,MODELED
WC2026_M100,25,30,ARG,51.7,SUI,48.3,MODELED
WC2026_M100,30,35,ARG,51.5,SUI,48.5,MODELED
WC2026_M100,35,40,ARG,48.4,SUI,51.6,MODELED
WC2026_M100,40,45,ARG,55.1,SUI,44.9,MODELED
WC2026_M100,45,50,ARG,57.3,SUI,42.7,MODELED
WC2026_M100,50,55,ARG,50.0,SUI,50.0,MODELED
WC2026_M100,55,60,ARG,52.5,SUI,47.5,MODELED
WC2026_M100,60,65,ARG,56.3,SUI,43.7,MODELED
WC2026_M100,65,70,ARG,40.9,SUI,59.1,MODELED
WC2026_M100,70,75,ARG,68.6,SUI,31.4,MODELED
WC2026_M100,75,80,ARG,57.1,SUI,42.9,MODELED
WC2026_M100,80,85,ARG,51.7,SUI,48.3,MODELED
WC2026_M100,85,90,ARG,48.8,SUI,51.2,MODELED
WC2026_M100,90,95,ARG,51.8,SUI,48.2,MODELED
WC2026_M100,95,100,ARG,59.9,SUI,40.1,MODELED
WC2026_M100,100,105,ARG,49.9,SUI,50.1,MODELED
WC2026_M100,105,110,ARG,59.9,SUI,40.1,MODELED
WC2026_M100,110,115,ARG,70.8,SUI,29.2,MODELED
WC2026_M100,115,120,ARG,49.9,SUI,50.1,MODELED
